AnalysisPeriod,NumberOfDrivers,VoluntaryExcess,NumberOfPastClaims,NumberOfPastConvictions,ClaimLastYr,AgeMainDriver,AgeYoungestDriver,AgeYoungestAdditionalDriver,VehicleAge,VehicleValue,VehicleMileage,BonusMalusYears,PolicyTenure,GenderMainDriver,GenderYoungestDriver,MaritalMainDriver,Make,Use,PaymentMethod,PaymentFrequency,BonusMalusProtection,GenderYoungestAdditionalDriver,VehFuel1
2005,2,0,0,0,0,2,3,1,1,1,0,0,0,1,1,0,34,2,0,0,0,0,1
2005,2,0,0,0,0,1,1,0,0,6,2,3,1,1,0,0,35,2,0,0,1,0,1
2007,2,100,0,0,0,0,1,1,1,6,2,2,0,1,1,0,20,2,1,0,1,0,1
2007,2,100,0,0,0,1,1,0,0,8,3,1,1,1,0,0,9,2,1,3,1,0,1
2006,2,0,0,0,0,2,2,0,1,5,1,3,1,1,0,0,16,0,1,2,0,0,1
2008,2,100,0,0,0,0,0,0,0,4,3,1,0,1,1,0,9,2,1,2,0,0,1
2007,2,250,0,0,0,1,0,0,1,9,0,1,0,0,1,0,12,3,1,2,0,1,1
2006,1,0,0,1,0,3,3,1,0,8,0,3,0,0,0,0,33,3,1,0,1,0,1
2006,1,150,0,1,0,0,0,1,0,1,3,1,0,1,1,3,6,3,1,0,0,0,1
2005,1,150,0,0,0,0,0,1,0,8,2,0,2,1,1,3,26,2,0,0,0,0,1
2008,2,100,0,0,0,1,0,0,0,3,3,3,1,0,1,0,8,0,1,0,1,1,0
2006,2,0,0,0,0,0,1,1,1,7,0,0,2,1,1,0,20,3,1,0,1,0,1
2007,1,50,0,0,0,2,2,1,1,2,1,1,2,0,0,1,36,3,1,0,0,0,1
2007,2,0,0,0,0,3,2,0,0,9,0,2,0,0,1,0,3,3,1,1,0,1,1
2007,1,100,1,0,1,1,1,1,0,0,1,3,1,0,0,3,17,2,1,2,0,0,1
2007,2,0,0,0,0,1,2,0,1,2,0,0,0,0,1,0,9,3,1,0,1,1,1
2005,2,250,0,0,0,0,0,1,0,4,1,0,1,1,1,0,37,3,1,3,0,0,1
2008,2,100,0,0,0,0,1,1,0,0,0,2,1,0,0,0,17,3,1,1,0,1,1
2006,1,0,0,0,0,1,2,1,0,0,2,3,1,1,1,1,0,2,0,0,1,0,1
2005,1,50,0,1,0,0,1,1,1,8,1,2,0,1,1,1,9,3,1,2,0,0,1
2005,2,100,0,0,0,2,2,1,0,6,3,0,1,0,0,0,11,3,1,0,0,1,1
2008,1,100,0,0,0,3,3,1,1,2,1,2,0,1,1,0,32,3,1,0,0,0,1
2006,2,0,0,0,0,0,1,0,1,8,0,0,2,0,1,0,37,3,1,0,0,1,1
2005,2,0,0,0,0,2,1,0,0,6,3,2,1,1,0,0,25,2,1,0,1,0,1
2007,1,150,0,0,0,0,0,1,0,7,1,1,1,1,1,3,35,3,1,0,0,0,1
2007,1,0,0,1,0,3,3,1,0,3,2,3,0,1,1,0,8,0,0,0,1,0,1
2005,2,0,0,0,0,1,1,0,0,2,3,3,0,1,0,0,8,3,1,0,1,0,0
2005,2,250,0,0,0,2,2,1,0,6,3,3,0,1,1,0,35,3,1,0,1,0,1
2008,2,100,0,0,0,1,2,0,0,7,3,1,0,1,1,0,20,2,0,0,1,0,1
2008,3,100,0,0,0,0,1,0,1,5,1,0,1,1,1,0,35,2,1,1,1,1,1
2006,2,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,8,3,1,0,0,1,1
2008,2,50,0,0,0,3,2,0,0,1,0,2,0,0,1,1,21,2,1,0,1,1,1
2005,2,100,0,0,0,1,2,0,1,2,1,3,0,1,1,0,32,3,0,0,1,0,1
2008,1,50,0,0,0,1,2,1,1,5,3,1,1,1,1,3,35,2,1,2,1,0,1
2005,2,100,0,0,0,0,0,1,1,8,0,1,0,1,1,0,37,3,1,2,1,0,0
2007,2,50,0,0,0,0,0,1,1,1,1,1,2,0,0,0,8,2,1,0,0,1,1
2008,1,150,0,0,0,0,0,1,0,9,3,0,0,0,0,1,37,3,0,1,0,0,1
2006,2,0,0,0,0,0,0,1,0,0,2,2,2,1,1,0,17,3,0,0,1,0,1
2007,2,100,0,0,0,1,2,1,1,7,3,0,1,1,1,0,37,3,1,0,0,0,0
2008,3,0,0,0,0,0,0,0,0,8,1,2,0,1,1,1,22,2,0,0,1,1,1
2008,2,100,0,1,0,1,2,1,0,7,3,3,0,1,1,0,10,3,0,0,0,0,1
2005,1,0,0,0,0,3,3,1,0,6,3,3,0,0,0,0,13,2,1,0,0,0,1
2007,3,150,0,0,0,2,2,0,1,2,2,0,1,1,1,0,9,2,1,0,0,1,1
2006,2,50,0,0,0,2,3,1,1,4,1,1,2,0,0,0,8,2,0,0,1,1,1
2007,2,0,0,0,0,1,2,1,1,3,1,1,2,0,0,0,35,2,1,2,0,1,1
2006,1,100,0,0,0,2,3,1,1,1,0,0,2,0,0,3,8,3,1,2,0,0,1
2006,2,50,0,0,0,3,3,1,0,4,2,1,1,1,0,0,8,3,1,0,0,0,1
2007,1,0,1,0,1,0,0,1,1,9,3,1,1,1,1,1,3,3,1,2,0,0,1
2006,3,100,0,0,0,2,2,1,0,5,3,2,2,1,1,3,36,3,0,0,1,0,0
2005,2,0,0,1,0,1,2,1,0,8,1,0,0,0,0,0,22,3,1,2,0,1,1
2006,2,100,0,0,0,0,0,0,0,7,3,0,0,0,0,0,22,3,0,0,1,1,1
2007,3,50,0,0,0,1,1,0,0,6,2,2,1,1,1,3,35,2,1,1,0,1,1
2006,1,50,1,0,1,3,3,1,0,7,1,3,2,0,0,3,22,2,1,1,0,0,1
2008,1,0,0,0,0,3,3,1,1,0,2,2,2,1,1,3,21,0,1,0,0,0,0
2008,2,50,1,0,1,1,0,0,1,1,3,0,1,1,0,0,9,3,1,1,0,0,0
2007,2,50,0,1,0,0,0,0,1,1,0,0,0,0,0,0,16,3,1,2,0,1,1
2006,2,0,1,0,1,2,2,0,1,5,0,0,1,0,1,0,11,2,1,0,0,1,1
2005,2,0,0,0,0,3,0,0,0,4,2,3,2,0,1,0,29,0,1,1,0,1,1
2007,2,0,0,0,0,1,0,0,0,6,3,3,0,0,1,0,26,2,1,1,1,1,1
2008,3,0,0,0,0,3,1,0,1,8,1,2,1,1,0,0,35,2,1,0,1,0,1
2008,2,150,1,0,1,1,1,0,1,2,1,0,2,0,1,0,26,3,1,0,0,1,1
2008,4,50,1,0,0,3,0,0,1,4,0,0,0,0,1,3,9,2,0,0,0,1,1
2006,1,0,0,0,0,2,2,1,1,6,0,2,2,0,0,3,9,2,1,0,0,0,1
2006,4,0,0,0,0,3,1,0,0,8,1,0,1,1,1,3,27,2,0,0,0,1,1
2007,1,50,1,0,1,3,3,1,1,3,2,3,2,0,0,0,16,0,0,0,0,0,1
2006,2,100,0,0,0,3,2,1,1,4,1,3,0,0,1,0,9,2,1,0,1,1,1
2005,1,50,0,0,0,0,1,1,0,2,3,1,0,1,1,0,9,2,1,3,0,0,0
2007,2,0,0,0,0,2,2,1,1,0,0,3,2,1,0,0,17,3,0,0,0,0,1
2006,3,0,0,0,0,3,3,1,0,4,3,3,2,1,1,0,8,2,1,2,1,0,1
2007,2,50,0,0,0,3,2,0,1,5,1,1,1,0,1,0,9,2,1,0,0,1,1
2005,2,100,0,0,0,1,2,0,0,5,3,2,1,0,1,0,22,1,1,0,0,1,1
2007,2,100,0,0,0,1,1,0,1,9,3,2,1,1,0,0,13,3,0,0,0,0,1
2007,2,0,0,0,0,2,1,0,0,4,1,1,1,0,1,0,11,2,1,0,0,1,1
2007,1,50,0,0,0,2,2,1,1,1,0,0,1,0,0,3,35,3,1,1,0,0,1
2005,1,100,0,0,0,1,2,1,0,0,1,3,1,1,1,3,0,0,0,0,0,0,1
2008,2,100,0,0,0,2,2,1,1,1,3,3,2,1,1,3,26,3,1,0,1,0,1
2008,1,50,0,4,0,1,2,1,1,5,3,1,1,0,0,0,35,2,1,0,0,0,1
2006,2,100,0,0,0,2,2,0,0,9,3,3,1,1,0,0,37,2,1,0,0,0,1
2006,1,100,0,0,0,2,3,1,0,8,3,2,0,0,0,0,22,3,0,0,1,0,1
2005,2,0,0,0,0,3,1,0,1,9,2,1,1,1,0,0,3,2,1,0,0,0,1
2005,2,100,0,0,0,1,1,1,0,8,3,3,1,1,1,0,26,2,1,0,0,0,1
2005,2,250,0,0,0,0,0,0,0,7,2,3,2,1,0,1,10,2,1,0,1,0,1
2006,3,0,0,0,0,3,2,1,0,9,1,3,0,1,0,0,3,3,1,2,1,0,1
2006,2,50,0,0,0,2,1,0,1,4,0,3,1,1,0,0,9,2,1,0,0,0,1
2007,1,0,0,0,0,1,2,1,0,9,1,2,1,1,1,3,3,3,1,0,0,0,1
2006,1,100,0,0,0,3,3,1,0,7,3,0,0,1,1,0,35,0,1,2,0,0,1
2008,1,50,0,0,0,3,3,1,0,4,2,1,1,0,0,3,9,2,0,0,0,0,1
2007,1,50,0,0,0,1,2,1,1,2,3,1,1,1,1,3,9,0,0,0,0,0,1
2007,2,250,0,0,0,1,1,0,1,2,3,3,2,1,0,0,26,2,1,0,1,0,1
2005,2,0,0,1,0,3,3,1,0,7,1,3,1,0,1,3,35,3,1,0,1,1,1
2005,3,0,0,1,0,3,1,0,0,4,3,1,0,0,1,3,8,2,1,0,1,1,1
2007,2,0,0,0,0,1,1,0,0,8,2,3,2,1,0,0,37,2,1,0,0,0,1
2008,1,0,1,0,1,3,3,1,1,4,3,0,2,1,1,0,36,3,1,0,0,0,1
2006,2,100,0,0,0,0,0,1,1,1,0,2,0,1,1,0,5,3,0,0,1,0,1
2007,2,0,0,1,0,2,0,0,0,8,0,0,1,0,1,0,9,3,1,0,1,1,1
2007,2,50,0,0,0,1,1,0,1,7,2,1,0,1,1,0,16,2,1,2,1,0,1
2007,2,100,1,0,1,1,2,1,1,0,3,1,1,0,0,0,17,2,1,0,0,1,1
2008,1,50,0,0,0,3,3,1,1,6,1,2,1,0,0,3,9,2,1,0,0,0,1
2008,2,100,0,0,0,0,0,1,0,7,3,2,1,1,1,0,20,3,1,2,1,0,0
2005,2,0,0,0,0,2,2,1,0,6,3,3,2,1,1,0,22,0,1,0,1,0,1
2007,2,50,0,0,0,1,2,0,1,1,3,1,1,1,1,0,22,3,1,0,1,0,1
2007,2,0,0,0,0,3,0,0,0,9,0,1,1,0,1,0,3,3,0,0,0,1,1
2006,1,0,0,0,0,3,3,1,1,5,1,1,1,1,1,0,26,3,0,0,1,0,1
2005,1,100,0,1,0,2,3,1,1,1,3,2,2,0,0,0,6,2,1,0,1,0,1
2007,2,50,0,0,0,2,2,0,0,7,0,1,1,0,1,0,9,3,0,0,0,1,1
2006,1,50,0,0,0,0,0,1,0,9,3,2,1,1,1,3,37,3,1,0,0,0,1
2006,3,0,1,0,1,2,1,0,0,6,1,2,2,1,0,3,5,2,1,0,0,0,0
2008,1,100,0,0,0,0,0,1,0,6,3,3,1,1,1,0,5,3,1,0,0,0,1
2005,2,50,0,0,0,0,0,1,1,1,0,2,0,0,0,0,17,2,1,0,0,1,1
2007,3,0,0,0,0,3,0,0,1,1,0,3,2,1,0,3,9,3,0,0,1,0,1
2005,1,0,0,0,0,3,3,1,1,8,0,2,1,1,1,0,9,2,1,2,0,0,1
2006,1,100,0,0,0,0,0,1,1,8,0,1,2,1,1,3,37,3,0,0,1,0,1
2006,1,100,0,0,0,0,0,1,1,9,3,0,0,1,1,3,1,0,1,1,0,0,1
2006,2,100,0,0,0,0,0,0,1,5,1,0,2,1,1,0,9,2,1,2,0,0,1
2008,2,100,0,0,0,1,2,1,0,2,3,1,1,0,0,0,9,2,0,2,1,1,1
2007,1,100,0,0,0,1,2,1,0,4,0,2,1,1,1,0,15,3,1,0,1,0,1
2006,2,50,0,0,0,2,2,0,0,3,3,0,2,0,1,0,35,3,1,0,0,1,0
2007,1,250,0,0,0,3,3,1,1,2,3,3,1,1,1,3,8,2,1,0,0,0,0
2006,2,0,0,0,0,2,2,0,1,4,3,1,0,0,1,0,11,3,1,0,1,1,1
2008,2,0,0,0,0,2,2,0,1,0,1,0,2,0,1,0,34,2,0,0,1,1,1
2008,2,0,0,0,0,0,0,0,1,6,3,1,2,1,1,0,35,3,1,0,0,0,1
2006,2,150,0,0,0,2,2,0,1,2,3,1,1,0,1,0,9,2,1,0,0,1,1
2006,2,0,0,0,0,1,0,0,0,3,1,1,2,1,0,0,9,2,1,2,0,0,1
2006,1,100,0,0,0,3,3,1,0,9,0,3,1,0,0,3,10,2,0,0,0,0,1
2008,2,100,0,0,0,3,2,1,1,2,0,0,1,0,1,0,16,2,1,0,1,1,1
2005,1,100,0,0,0,0,1,1,1,2,3,1,0,0,0,0,9,3,1,0,0,0,0
2006,2,100,0,0,0,0,0,0,0,4,3,1,0,0,0,0,5,3,1,0,1,1,1
2008,2,50,0,0,0,3,1,0,1,0,1,2,1,0,1,0,34,3,1,0,1,1,1
2006,3,0,0,1,0,2,2,1,0,1,1,1,0,1,1,3,6,3,1,0,0,0,1
2006,2,0,0,0,0,3,0,0,0,2,0,0,2,0,1,0,8,3,0,0,0,1,1
2005,3,0,0,4,0,2,2,1,0,9,3,0,2,1,1,0,37,3,1,0,0,1,1
2008,2,0,0,0,0,3,1,0,1,9,0,1,2,0,1,0,23,3,0,0,0,1,1
2007,2,0,1,0,0,0,0,1,1,6,1,1,1,0,0,0,35,3,1,0,0,1,1
2005,2,100,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,3,0,0,1,0,1
2007,2,150,0,0,0,0,0,0,1,2,1,2,0,1,1,0,35,3,1,0,1,0,1
2008,2,50,0,0,0,1,2,1,0,3,1,2,2,1,1,0,11,2,1,2,0,0,1
2005,2,100,0,1,0,0,0,1,1,7,2,0,1,1,1,0,9,3,1,2,0,0,1
2008,1,100,0,0,0,1,2,1,0,6,0,2,0,0,0,0,35,3,1,0,1,0,1
2007,2,100,0,0,0,0,1,1,0,0,1,2,1,1,1,0,24,2,1,1,1,0,1
2007,1,0,0,0,0,3,3,1,0,8,2,3,0,0,0,3,35,0,0,0,0,0,1
2005,2,0,0,0,0,1,2,1,0,8,2,2,1,1,1,0,37,2,1,0,1,0,1
2007,2,0,0,0,0,2,2,0,0,9,3,3,0,0,1,0,37,2,1,3,1,1,0
2006,3,0,0,0,0,3,3,1,0,2,1,3,1,0,1,3,11,2,1,0,0,1,1
2006,2,100,0,0,0,1,2,0,1,1,3,1,0,1,1,0,9,0,1,1,1,0,1
2008,2,100,0,1,0,3,1,0,1,9,0,3,0,1,0,0,26,3,0,0,0,0,1
2005,2,0,0,0,0,1,1,0,1,7,0,1,2,0,1,0,32,3,1,1,1,1,1
2008,2,150,0,0,0,1,2,1,1,1,3,3,0,1,1,0,6,2,1,3,0,0,1
2007,2,100,1,0,0,1,2,0,0,5,3,2,2,1,0,0,8,2,0,0,0,0,1
2008,1,50,0,0,0,2,2,1,1,5,0,0,2,1,1,3,9,3,0,0,0,0,1
2007,2,0,0,0,0,1,2,1,1,1,2,3,2,1,1,0,22,2,1,0,1,0,1
2006,2,100,0,0,0,2,1,0,1,5,2,3,0,0,1,0,16,2,1,0,0,1,1
2005,2,100,0,0,0,0,1,1,1,6,1,0,0,1,1,0,26,3,1,2,0,0,1
2005,2,100,0,0,0,1,2,0,0,1,3,3,1,1,1,0,34,2,0,0,1,0,1
2007,1,100,0,0,0,0,0,1,1,3,2,3,1,1,1,0,8,3,1,0,0,0,1
2005,1,0,0,0,0,2,2,1,1,8,2,3,0,1,1,3,18,0,1,0,1,0,1
2005,2,0,0,1,0,0,0,0,0,6,3,0,1,1,1,0,35,2,1,1,0,0,1
2006,1,50,0,0,0,1,2,1,0,0,1,2,1,1,1,3,34,2,1,0,0,0,0
2008,1,50,0,0,0,2,3,1,1,1,3,3,0,1,1,3,34,3,1,2,1,0,1
2007,1,100,0,1,0,1,2,1,0,6,2,2,1,1,1,0,5,2,1,0,0,0,1
2005,2,100,0,0,0,2,2,0,0,0,2,3,1,0,1,0,24,2,0,0,1,1,1
2006,1,100,0,0,0,1,1,1,0,7,1,0,0,0,0,3,9,2,1,2,0,0,1
2007,2,0,0,0,0,0,1,0,0,0,3,1,1,1,1,0,6,2,1,1,0,0,1
2005,1,50,0,0,0,3,3,1,1,2,0,3,1,0,0,0,9,0,1,0,1,0,1
2006,2,0,0,0,0,2,1,0,1,8,0,0,2,0,1,0,32,3,1,0,1,1,1
2005,2,100,0,0,0,0,0,0,1,6,0,1,1,0,1,0,32,2,1,2,1,1,1
2008,2,0,0,1,0,1,2,1,0,8,1,3,0,1,1,0,25,0,1,0,1,0,1
2005,2,0,0,0,0,0,0,0,0,8,3,2,2,0,1,0,25,0,1,0,0,1,1
2008,3,250,0,0,0,0,0,0,0,6,0,2,2,0,0,3,26,3,1,2,1,1,1
2007,2,50,0,0,0,2,2,0,0,0,1,1,1,1,0,0,21,3,0,0,0,0,1
2008,2,100,0,0,0,0,0,0,1,7,0,1,1,1,1,0,35,2,1,1,0,0,1
2006,2,100,0,0,0,1,2,0,0,3,0,1,1,0,0,0,9,3,1,1,1,1,1
2006,2,200,0,0,0,1,2,0,0,5,3,2,2,1,1,0,8,0,1,0,1,0,1
2007,2,0,0,0,0,3,2,0,1,0,1,3,2,0,1,0,34,2,1,0,0,1,1
2006,2,100,0,0,0,3,2,0,1,7,3,1,1,1,0,3,26,3,1,0,1,0,1
2008,1,0,0,0,0,3,3,1,1,2,0,3,2,0,0,0,37,2,0,2,0,0,1
2005,2,0,0,0,0,2,2,0,0,7,3,2,1,1,0,0,10,2,1,0,1,0,1
2007,2,100,0,0,0,0,0,0,1,1,1,1,0,1,0,0,9,2,1,1,0,0,1
2008,2,0,0,1,0,3,2,0,1,7,2,3,2,1,0,0,37,2,1,0,1,0,1
2006,1,0,0,0,0,1,2,1,1,3,2,2,2,0,0,3,35,2,1,0,0,0,1
2006,2,0,0,0,0,3,3,1,1,3,0,2,2,0,1,0,32,3,0,0,0,1,1
2008,2,50,0,0,0,2,2,0,1,1,3,2,1,0,1,0,36,0,1,0,1,1,1
2005,2,0,0,0,0,0,0,1,1,9,0,1,1,1,1,0,12,2,1,2,0,0,1
2008,1,0,0,0,0,0,1,1,0,7,3,1,2,1,1,3,13,2,0,0,1,0,1
2008,2,250,0,1,0,0,1,0,0,2,0,0,0,1,1,0,8,2,1,0,0,0,1
2005,1,100,0,0,0,2,3,1,1,2,1,1,1,1,1,3,10,0,1,2,0,0,1
2006,2,0,0,0,0,1,1,0,1,5,1,2,1,1,0,0,15,0,1,1,0,0,1
2007,1,0,0,0,0,3,3,1,1,2,3,3,1,0,0,3,9,2,1,0,1,0,1
2008,2,100,0,4,0,1,2,1,0,6,3,1,1,1,1,0,3,2,0,0,0,0,1
2006,2,50,0,0,0,2,0,0,1,2,1,2,1,0,1,0,16,2,1,0,0,1,1
2008,2,50,0,0,0,2,1,0,1,1,2,2,2,1,0,0,20,2,1,1,0,0,1
2006,2,50,0,0,0,2,3,1,1,1,1,3,1,0,0,0,36,3,1,0,0,1,1
2006,1,0,0,1,0,2,2,1,1,4,0,0,0,1,1,3,22,2,1,2,0,0,1
2008,2,0,0,0,0,1,1,0,1,3,1,0,1,0,1,0,9,3,1,2,0,1,1
2008,1,0,0,0,0,2,3,1,1,1,2,0,0,1,1,3,24,2,1,0,0,0,1
2007,2,50,0,0,0,2,1,0,1,5,3,3,1,0,1,0,9,3,1,0,1,1,1
2006,2,100,0,0,0,3,3,1,1,6,1,2,1,1,0,0,9,2,1,0,0,0,1
2005,2,0,0,0,0,0,0,0,0,6,1,2,0,0,1,0,9,2,1,0,0,1,1
2006,1,100,0,0,0,1,2,1,1,6,1,2,2,0,0,3,9,2,1,1,0,0,1
2006,1,0,0,0,0,3,3,1,0,6,1,2,0,1,1,3,22,2,1,0,0,0,1
2006,1,100,0,0,0,0,1,1,0,2,3,2,2,1,1,3,8,2,1,2,1,0,1
2008,1,50,0,1,0,1,2,1,0,6,1,1,0,0,0,3,22,2,0,0,0,0,0
2006,2,0,0,1,0,3,1,0,0,4,3,2,0,1,0,0,8,0,0,0,0,0,1
2007,1,100,0,0,0,3,3,1,1,0,3,0,1,0,0,3,24,3,1,0,1,0,1
2007,1,0,0,0,0,1,1,1,1,2,3,2,1,1,1,1,37,2,1,1,0,0,1
2008,2,100,0,0,0,2,2,0,1,8,3,3,1,1,0,0,16,2,1,2,1,0,1
2005,1,100,0,4,0,0,1,1,0,5,3,2,2,1,1,0,25,0,1,2,0,0,1
2008,1,50,0,0,0,0,0,1,1,4,2,3,2,1,1,3,11,2,1,0,0,0,1
2006,1,100,0,0,0,3,3,1,0,4,1,2,2,0,0,0,9,0,1,0,1,0,1
2006,2,0,0,0,0,0,1,0,1,5,3,1,1,1,1,0,9,2,1,1,0,0,1
2005,2,50,0,0,0,1,1,1,0,9,3,1,0,1,1,0,13,2,1,0,0,0,1
2005,1,100,0,0,0,0,0,1,0,7,2,1,1,1,1,2,19,2,1,1,1,0,0
2006,4,100,0,0,0,0,0,0,1,2,3,0,1,1,1,3,35,2,1,0,0,1,1
2007,2,50,1,0,0,2,1,0,0,8,2,2,2,0,1,0,1,3,1,0,0,1,1
2007,2,100,0,0,0,2,3,1,0,4,0,2,2,1,1,0,9,3,1,1,1,0,1
2005,2,350,0,0,0,0,1,0,0,9,3,2,1,0,0,0,3,2,0,0,1,1,1
2006,2,0,0,0,0,3,2,0,1,2,3,2,1,1,0,0,37,2,0,0,0,0,1
2008,1,100,0,0,0,2,2,1,1,1,1,3,2,1,1,0,37,2,1,0,0,0,1
2007,4,200,0,0,0,2,1,0,1,8,3,1,0,1,1,3,35,3,1,1,0,1,0
2005,2,50,0,0,0,2,3,1,0,5,3,2,2,0,0,0,35,3,1,0,1,1,0
2006,2,150,0,0,0,1,1,1,1,2,3,1,0,1,1,0,8,0,1,2,1,0,1
2006,2,100,0,0,0,3,1,0,1,2,3,1,1,1,0,0,9,0,1,0,0,0,0
2006,2,100,0,0,0,1,1,0,0,1,3,0,0,1,0,0,35,3,1,0,0,0,1
2006,3,0,0,0,0,0,0,0,1,1,1,1,2,1,1,3,9,2,1,1,1,1,1
2005,2,100,0,0,0,2,1,0,0,5,3,1,0,0,1,0,35,3,1,1,1,1,1
2007,2,150,0,0,0,3,2,0,0,6,1,1,2,1,0,0,36,2,1,3,0,0,1
2005,3,100,0,0,0,1,1,1,1,3,3,1,2,1,1,3,16,0,0,0,0,1,1
2007,2,50,0,1,0,0,0,0,1,6,1,0,0,0,1,0,26,3,1,0,0,1,1
2007,2,50,0,0,0,1,1,1,1,1,0,1,2,1,1,0,12,3,1,2,0,0,1
2005,2,100,0,0,0,0,0,0,0,9,0,1,1,1,0,0,26,2,1,0,0,0,1
2005,1,100,0,0,0,3,3,1,1,4,1,0,0,0,0,3,9,3,0,0,0,0,1
2006,2,100,0,0,0,1,1,0,1,9,3,2,2,1,0,0,12,3,0,0,0,0,0
2006,1,0,1,0,1,0,0,1,1,4,1,0,0,1,1,3,35,3,1,2,0,0,1
2005,2,0,0,0,0,3,3,1,1,2,1,3,0,0,1,0,15,0,0,0,0,1,1
2008,2,250,1,0,0,1,1,0,1,3,3,0,0,1,0,0,22,2,1,1,0,0,1
2007,2,0,0,1,0,2,2,0,1,8,3,3,0,1,0,0,37,2,0,0,1,0,1
2006,1,0,0,4,0,2,2,1,1,0,3,3,1,1,1,3,34,0,1,0,0,0,1
2007,1,0,0,0,0,3,3,1,1,2,3,3,0,1,1,3,29,2,0,0,1,0,1
2006,2,100,0,0,0,0,0,1,0,9,3,1,2,1,1,0,12,3,1,0,1,0,0
2007,2,100,0,0,0,1,1,0,0,2,2,3,2,1,0,0,36,2,1,0,1,0,1
2005,2,100,0,1,0,3,3,1,0,9,1,2,2,0,1,0,3,2,1,3,0,1,1
2007,1,0,1,0,1,1,1,1,1,2,1,0,2,1,1,3,26,2,1,1,0,0,1
2006,2,50,0,0,0,0,0,0,1,3,3,2,2,1,1,0,9,3,1,1,1,0,1
2005,1,100,0,0,0,1,2,1,0,7,3,3,1,1,1,3,5,2,0,0,1,0,0
2006,4,50,0,4,0,3,2,0,1,2,2,3,1,0,0,3,11,2,1,0,0,0,1
2007,3,50,2,0,0,0,0,1,0,0,1,0,1,1,1,3,17,3,1,2,0,0,0
2006,2,100,0,0,0,1,1,1,0,4,3,2,2,1,1,0,5,2,0,0,1,0,1
2006,1,50,1,0,1,0,0,1,0,6,1,0,1,1,1,0,26,3,1,2,0,0,1
2006,3,100,0,0,0,3,1,0,0,5,2,2,1,0,1,1,9,3,1,0,1,1,1
2006,2,100,0,0,0,3,2,0,1,3,1,2,0,1,0,0,9,2,1,0,1,0,1
2007,2,0,0,0,0,1,2,1,0,6,3,2,1,1,1,0,10,1,0,0,1,0,1
2008,1,0,0,0,0,3,3,1,1,0,2,3,2,1,1,3,34,3,0,0,0,0,1
2006,2,100,0,0,0,2,3,1,0,3,2,3,2,1,1,0,20,2,0,0,1,0,1
2008,2,0,0,0,0,1,1,1,0,7,1,1,0,0,0,0,9,3,1,0,0,1,1
2005,1,0,0,0,0,0,0,1,0,7,3,0,1,0,0,0,9,3,1,2,1,0,1
2008,2,100,0,0,0,1,1,0,1,0,3,0,1,0,1,0,31,3,1,0,0,1,1
2006,2,0,0,2,0,3,0,0,1,1,2,2,0,0,1,0,34,0,1,0,0,1,1
2005,2,0,0,1,0,3,2,0,0,1,1,3,2,1,0,0,24,2,1,0,0,0,1
2007,2,50,0,0,0,2,2,1,0,8,3,1,1,1,1,0,16,2,1,0,0,0,1
2006,2,50,0,0,0,3,2,0,0,7,1,1,0,0,1,0,37,3,0,0,0,1,1
2007,1,0,0,1,0,3,3,1,1,8,0,3,2,1,1,0,13,3,1,1,1,0,1
2007,1,100,0,0,0,0,0,1,1,2,1,0,1,1,1,3,9,2,1,0,1,0,1
2006,1,50,0,0,0,2,3,1,1,2,1,1,1,1,1,0,19,2,1,0,1,0,0
2006,2,100,0,0,0,2,3,1,1,6,2,3,2,1,1,0,9,3,1,0,1,0,1
2008,1,100,0,0,0,0,0,1,0,5,3,0,0,1,1,0,35,3,0,0,0,0,1
2008,2,50,0,0,0,3,3,1,1,0,1,1,2,1,0,0,21,2,1,2,0,0,1
2008,2,100,0,0,0,1,2,0,1,0,3,0,1,1,1,0,34,3,1,0,1,0,0
2007,1,50,0,0,0,2,3,1,1,0,1,2,2,0,0,3,6,3,1,0,1,0,1
2006,2,0,0,0,0,3,3,1,0,3,1,2,2,0,1,0,8,2,1,2,0,1,1
2007,2,0,1,0,1,3,3,1,1,5,1,0,1,0,1,0,8,2,0,0,0,1,1
2005,1,100,0,0,0,0,0,1,0,4,3,1,1,1,1,3,5,3,1,0,0,0,1
2005,1,0,0,3,0,3,3,1,1,2,1,2,0,0,0,0,8,0,1,0,1,0,1
2006,2,0,0,0,0,3,2,1,0,8,3,1,1,0,1,0,26,2,1,0,1,1,1
2006,1,0,0,0,0,3,3,1,1,1,1,3,0,1,1,3,34,0,1,1,1,0,1
2007,2,0,0,0,0,3,3,1,0,7,3,1,1,0,1,0,37,0,1,0,0,1,1
2006,1,50,0,0,0,0,1,1,0,4,3,1,0,0,0,3,8,3,1,0,1,0,1
2005,3,0,0,0,0,2,2,0,0,4,2,1,0,0,1,0,8,2,1,1,1,1,1
2007,1,50,0,0,0,3,3,1,1,6,1,1,0,0,0,0,25,2,1,2,0,0,1
2005,1,0,0,0,0,1,1,1,0,7,0,1,1,1,1,0,35,2,0,0,0,0,1
2005,4,50,0,0,0,3,2,0,0,6,0,2,0,0,0,1,25,3,1,0,1,0,1
2007,2,0,1,0,0,0,1,0,0,3,1,0,2,1,1,0,22,3,1,2,0,0,1
2005,2,100,0,0,0,0,1,1,0,1,3,1,0,1,1,1,24,2,1,2,1,0,1
